མཆན།	ཆོས་ཚན།	དབུ།	རྒྱབ་འདུན།	དབུ་ཤོག་ཐིག་གྲངས།	ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།	ཞབས།	རྒྱབ་འདུན།	ཞབས་ཀྱི་ཐིག་གྲངས།	ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།	ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།					
མཚན་བྱང་ཆད་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག	1-130 འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།_conc-corrected.txt	286	b	5	7	294	a	6	7	7					
	1-139 ཀླུ་སྒྲུབ་ཀྱི་གླུ།_conc-corrected.txt	10	a	3	7	10	a	6	7	7					
	1-140 ལྟུང་པ་བཅོ་ལྔ།_conc.txt	180	a	3	7	180	a	6	7	7					
དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-141 ཡན་ལག་གི་ཉེས་པ་བདུན་པ།_conc-corrected.txt	180	a	6	7	180	a	7	7	7					
	1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།_conc-corrected.txt	257	b	3	7	259	a	6	7	7					
	1-143 སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt	267	b	3	7	268	b	3	7	7					
	1-145 རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག_conc.txt	130	b	3	7	160	b	2	7	7					
	1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།_conc-corrected.txt	29	b	1	7	99	a	7	7	7					
	1-147 སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད།_conc-corrected.txt	150	a	4	7	151	a	1	7	7					
	1-149 མདོ་ཀུན་ལས་བཏུས་པ།_conc.txt	148	b	1	7	215	a	5	7	7					
	1-150 བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག_conc-corrected.txt	237	a	4	7	239	a	4	7	7					
	1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།_conc.txt	163	b	4	7	182	a	1	7	7					
མཚན་བྱང་ཆད་འདུག	1-153 སྨན་འཚོ་བའི་མདོ་ཚིགས་སུ་བཅད་པ།_conc-corrected.txt	8	b	4	7	12	a	4	7	7					
	1-156 དགེ་བའི་འདོད་འཇོ།_conc.txt	131	b	4	7	140	a	3	7	7					
	1-159 འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།_conc-corrected.txt	317	b	4	7	318	a	4	7	7					
	1-160 བླ་མ་གསང་བར་སྒྲུབ་པ།_conc-corrected.txt	32	b	4	7	34	b	3	7	7					
མཚན་བྱང་ཆད་འདུག	1-163 རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ།_conc-corrected.txt	318	a	4	7	319	a	4	7	7					
	1-17 འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།_conc-corrected.txt	80	a	5	7	80	b	5	7	7					
	1-18 རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།_conc-corrected.txt	80	b	5	7	81	b	2	7	7					
	1-19 གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།a_conc-corrected.txt	82	a	3	7	82	b	3	7	7					
	1-2 དཔེ་མེད་པར་བསྟོད་པ།_conc-corrected.txt	67	b	3	7	68	a	3	7	7					
